stcc4,region,mode,ton,value,dir
3281,34005,Truck,74520.92445,10392778.45,in
3291,34005,Truck,2524.490307,7660393.896,in
3292,34005,Truck,144.1029786,23457.819,in
3293,34005,Truck,1172.985022,6220182.099,in
3295,34005,Truck,10683.42835,901457.9577,in
3296,34005,Truck,25011.09929,4342812.086,in
3299,34005,Truck,1518.143268,1000857.085,in
3311,34005,Rail,3920,4924995,in
3311,34005,Truck,3163.981668,3534987.779,in
3312,34005,Rail,22760,35108022.5,in
3312,34005,Truck,43987.93764,59894721.85,in
3313,34005,Truck,2570.217543,2717495.505,in
3315,34005,Truck,3944.593679,15267608.86,in
3321,34005,Truck,4503.138959,11068494.35,in
3331,34005,Truck,655.9016098,3311277.328,in
3333,34005,Truck,983.8253332,1534767.517,in
3339,34005,Truck,670.2427105,66354028.31,in
3351,34005,Truck,2249.4499,8152659.272,in
3352,34005,Truck,27042.85485,56247507.3,in
3356,34005,Truck,7129.67816,18276826.28,in
3357,34005,Truck,2020.819773,7698170.602,in
3361,34005,Truck,7195.119348,12676920.39,in
3362,34005,Truck,126.8579021,383140.9072,in
3369,34005,Truck,1454.492155,3451984.282,in
3391,34005,Truck,4542.208321,9013435.262,in
3392,34005,Truck,2270.4612,3614164.1,in
3399,34005,Truck,16169.54305,34572509.11,in
3400,34005,Air,0.57564545,16102.673,in
3411,34005,Truck,2431.969762,6950247.295,in
3421,34005,Truck,494.3020044,6870187.909,in
3423,34005,Truck,1106.375985,18915600.33,in
3425,34005,Truck,176.0686771,2567670.921,in
3428,34005,Truck,339.1372278,2494273.539,in
3431,34005,Truck,554.1708114,1125060.48,in
3432,34005,Truck,219.512968,2044495.383,in
3433,34005,Truck,1700.085925,17127409.3,in
3441,34005,Truck,12672.37114,34066662.58,in
3442,34005,Truck,6355.212291,15768575.9,in
3443,34005,Truck,1107.366561,8673139.421,in
3444,34005,Truck,17625.15342,35176508.66,in
3446,34005,Truck,4147.001293,11521019.41,in
3449,34005,Truck,27984.21251,78123736.75,in
3452,34005,Truck,8828.974347,40120605.68,in
3461,34005,Truck,2808.887504,13861080.92,in
3481,34005,Truck,3963.64063,8815359.253,in
3491,34005,Truck,4610.418761,11124318.18,in
3492,34005,Truck,1556.364434,2770087.379,in
3493,34005,Truck,2582.515648,4880788.238,in
3494,34005,Truck,8572.067095,42318302.72,in
3499,34005,Truck,7343.617631,27204681.07,in
3500,34005,Air,108.3000828,11238810.01,in
3511,34005,Truck,2645.391537,25626370.72,in
3519,34005,Truck,4289.308236,42797996.8,in
3522,34005,Truck,4990.629958,35508693.2,in
3524,34005,Truck,1933.737614,9220811.563,in
3531,34005,Truck,3998.585382,27875520.52,in
3532,34005,Truck,317.5091544,3550067.309,in
3533,34005,Truck,1478.737158,16309519.39,in
3534,34005,Truck,678.4636629,3752298.565,in
3535,34005,Truck,2103.0641,13788539.76,in
3536,34005,Truck,1253.63964,8386447.05,in
3537,34005,Truck,2587.323319,9450702.404,in
